,Postcode,Borough,Neighbourhood
88,M8V,Etobicoke,"Humber Bay Shores ,Mimico South ,New Toronto"
89,M8W,Etobicoke,"Alderwood ,Long Branch"
90,M8X,Etobicoke,"The Kingsway ,Montgomery Road ,Old Mill North"
91,M8Y,Etobicoke,"Humber Bay ,King's Mill Park ,Kingsway Park South East ,Mimico NE ,Old Mill South ,The Queensway East ,Royal York South East ,Sunnylea"
92,M8Z,Etobicoke,"Kingsway Park South West ,Mimico NW ,The Queensway West ,Royal York South West ,South of Bloor"
93,M9A,Etobicoke,Islington Avenue
94,M9B,Etobicoke,"Cloverdale ,Islington ,Martin Grove ,Princess Gardens ,West Deane Park"
95,M9C,Etobicoke,"Bloordale Gardens ,Eringate ,Markland Wood ,Old Burnhamthorpe"
96,M9L,North York,Humber Summit
97,M9M,North York,"Emery ,Humberlea"
98,M9N,York,Weston
99,M9P,Etobicoke,Westmount
100,M9R,Etobicoke,"Kingsview Village ,Martin Grove Gardens ,Richview Gardens ,St. Phillips"
101,M9V,Etobicoke,"Albion Gardens ,Beaumond Heights ,Humbergate ,Jamestown ,Mount Olive ,Silverstone ,South Steeles ,Thistletown"
102,M9W,Etobicoke,Northwest
