Year,State,Type,Length,Expense,Value
2013,Kentucky,Public Out-of-State,2-year,Fees/Tuition,11789
2013,Kentucky,Public Out-of-State,4-year,Fees/Tuition,19040
2013,Kentucky,Public Out-of-State,4-year,Room/Board,8164
2013,Louisiana,Private,4-year,Fees/Tuition,28691
2013,Louisiana,Private,4-year,Room/Board,10397
2013,Louisiana,Public In-State,2-year,Fees/Tuition,2837
2013,Louisiana,Public In-State,4-year,Fees/Tuition,5817
2013,Louisiana,Public In-State,4-year,Room/Board,8428
2013,Louisiana,Public Out-of-State,2-year,Fees/Tuition,5781
2013,Louisiana,Public Out-of-State,4-year,Fees/Tuition,17405
2013,Louisiana,Public Out-of-State,4-year,Room/Board,8428
2013,Maine,Private,4-year,Fees/Tuition,31558
2013,Maine,Private,4-year,Room/Board,11187
2013,Maine,Public In-State,2-year,Fees/Tuition,3409
2013,Maine,Public In-State,4-year,Fees/Tuition,9295
2013,Maine,Public In-State,4-year,Room/Board,9381
2013,Maine,Public Out-of-State,2-year,Fees/Tuition,6053
2013,Maine,Public Out-of-State,4-year,Fees/Tuition,24397
2013,Maine,Public Out-of-State,4-year,Room/Board,9381
2013,Maryland,Private,4-year,Fees/Tuition,32580
2013,Maryland,Private,4-year,Room/Board,12238
2013,Maryland,Public In-State,2-year,Fees/Tuition,3500
2013,Maryland,Public In-State,4-year,Fees/Tuition,8051
2013,Maryland,Public In-State,4-year,Room/Board,10043
2013,Maryland,Public Out-of-State,2-year,Fees/Tuition,8355
2013,Maryland,Public Out-of-State,4-year,Fees/Tuition,20199
2013,Maryland,Public Out-of-State,4-year,Room/Board,10043
2013,Massachusetts,Private,4-year,Fees/Tuition,36795
2013,Massachusetts,Private,4-year,Room/Board,13076
2013,Massachusetts,Public In-State,2-year,Fees/Tuition,4186
2013,Massachusetts,Public In-State,4-year,Fees/Tuition,10632
2013,Massachusetts,Public In-State,4-year,Room/Board,10462
2013,Massachusetts,Public Out-of-State,2-year,Fees/Tuition,9516
2013,Massachusetts,Public Out-of-State,4-year,Fees/Tuition,24399
2013,Massachusetts,Public Out-of-State,4-year,Room/Board,10462
2013,Michigan,Private,4-year,Fees/Tuition,18135
2013,Michigan,Private,4-year,Room/Board,8246
2013,Michigan,Public In-State,2-year,Fees/Tuition,2736
2013,Michigan,Public In-State,4-year,Fees/Tuition,11027
2013,Michigan,Public In-State,4-year,Room/Board,8838
2013,Michigan,Public Out-of-State,2-year,Fees/Tuition,5651
2013,Michigan,Public Out-of-State,4-year,Fees/Tuition,31047
2013,Michigan,Public Out-of-State,4-year,Room/Board,8838
2013,Minnesota,Private,4-year,Fees/Tuition,26499
2013,Minnesota,Private,4-year,Room/Board,8910
2013,Minnesota,Public In-State,2-year,Fees/Tuition,5362
2013,Minnesota,Public In-State,4-year,Fees/Tuition,10291
2013,Minnesota,Public In-State,4-year,Room/Board,7708
2013,Minnesota,Public Out-of-State,2-year,Fees/Tuition,6197
2013,Minnesota,Public Out-of-State,4-year,Fees/Tuition,16313
2013,Minnesota,Public Out-of-State,4-year,Room/Board,7708
2013,Mississippi,Private,4-year,Fees/Tuition,14592
2013,Mississippi,Private,4-year,Room/Board,6289
2013,Mississippi,Public In-State,2-year,Fees/Tuition,2276
2013,Mississippi,Public In-State,4-year,Fees/Tuition,6147
2013,Mississippi,Public In-State,4-year,Room/Board,7436
2013,Mississippi,Public Out-of-State,2-year,Fees/Tuition,4284
2013,Mississippi,Public Out-of-State,4-year,Fees/Tuition,15055
2013,Mississippi,Public Out-of-State,4-year,Room/Board,7436
2013,Missouri,Private,4-year,Fees/Tuition,19020
2013,Missouri,Private,4-year,Room/Board,8595
2013,Missouri,Public In-State,2-year,Fees/Tuition,2716
2013,Missouri,Public In-State,4-year,Fees/Tuition,7815
2013,Missouri,Public In-State,4-year,Room/Board,8421
2013,Missouri,Public Out-of-State,2-year,Fees/Tuition,5384
2013,Missouri,Public Out-of-State,4-year,Fees/Tuition,18885
2013,Missouri,Public Out-of-State,4-year,Room/Board,8421
2013,Montana,Private,4-year,Fees/Tuition,19737
2013,Montana,Private,4-year,Room/Board,7584
2013,Montana,Public In-State,2-year,Fees/Tuition,3151
2013,Montana,Public In-State,4-year,Fees/Tuition,6267
2013,Montana,Public In-State,4-year,Room/Board,7306
2013,Montana,Public Out-of-State,2-year,Fees/Tuition,8351
2013,Montana,Public Out-of-State,4-year,Fees/Tuition,20164
2013,Montana,Public Out-of-State,4-year,Room/Board,7306
2013,Nebraska,Private,4-year,Fees/Tuition,19478
2013,Nebraska,Private,4-year,Room/Board,7733
2013,Nebraska,Public In-State,2-year,Fees/Tuition,2594
2013,Nebraska,Public In-State,4-year,Fees/Tuition,7023
2013,Nebraska,Public In-State,4-year,Room/Board,8268
2013,Nebraska,Public Out-of-State,2-year,Fees/Tuition,3415
2013,Nebraska,Public Out-of-State,4-year,Fees/Tuition,16702
2013,Nebraska,Public Out-of-State,4-year,Room/Board,8268
2013,Nevada,Private,4-year,Fees/Tuition,16108
2013,Nevada,Private,4-year,Room/Board,21602
2013,Nevada,Public In-State,2-year,Fees/Tuition,2700
2013,Nevada,Public In-State,4-year,Fees/Tuition,4953
2013,Nevada,Public In-State,4-year,Room/Board,10991
2013,Nevada,Public Out-of-State,2-year,Fees/Tuition,9345
2013,Nevada,Public Out-of-State,4-year,Fees/Tuition,19156
2013,Nevada,Public Out-of-State,4-year,Room/Board,10991
2013,New Hampshire,Private,4-year,Fees/Tuition,30202
2013,New Hampshire,Private,4-year,Room/Board,12107
2013,New Hampshire,Public In-State,2-year,Fees/Tuition,7218
2013,New Hampshire,Public In-State,4-year,Fees/Tuition,14435
2013,New Hampshire,Public In-State,4-year,Room/Board,10270
2013,New Hampshire,Public Out-of-State,2-year,Fees/Tuition,15697
2013,New Hampshire,Public Out-of-State,4-year,Fees/Tuition,24945
2013,New Hampshire,Public Out-of-State,4-year,Room/Board,10270
2013,New Jersey,Private,4-year,Fees/Tuition,31195
2013,New Jersey,Private,4-year,Room/Board,11636
2013,New Jersey,Public In-State,2-year,Fees/Tuition,3782
2013,New Jersey,Public In-State,4-year,Fees/Tuition,11955
2013,New Jersey,Public In-State,4-year,Room/Board,11819
2013,New Jersey,Public Out-of-State,2-year,Fees/Tuition,6591
2013,New Jersey,Public Out-of-State,4-year,Fees/Tuition,24447
2013,New Jersey,Public Out-of-State,4-year,Room/Board,11819
2013,New Mexico,Private,4-year,Fees/Tuition,16256
2013,New Mexico,Private,4-year,Room/Board,8889
2013,New Mexico,Public In-State,2-year,Fees/Tuition,1399
2013,New Mexico,Public In-State,4-year,Fees/Tuition,5483
2013,New Mexico,Public In-State,4-year,Room/Board,7742
2013,New Mexico,Public Out-of-State,2-year,Fees/Tuition,4558
2013,New Mexico,Public Out-of-State,4-year,Fees/Tuition,14327
2013,New Mexico,Public Out-of-State,4-year,Room/Board,7742
2013,New York,Private,4-year,Fees/Tuition,32438
2013,New York,Private,4-year,Room/Board,12901
2013,New York,Public In-State,2-year,Fees/Tuition,4331
2013,New York,Public In-State,4-year,Fees/Tuition,6556
2013,New York,Public In-State,4-year,Room/Board,11841
2013,New York,Public Out-of-State,2-year,Fees/Tuition,7827
2013,New York,Public Out-of-State,4-year,Fees/Tuition,15751
2013,New York,Public Out-of-State,4-year,Room/Board,11841
2013,North Carolina,Private,4-year,Fees/Tuition,26336
2013,North Carolina,Private,4-year,Room/Board,9858
2013,North Carolina,Public In-State,2-year,Fees/Tuition,2212
2013,North Carolina,Public In-State,4-year,Fees/Tuition,6223
2013,North Carolina,Public In-State,4-year,Room/Board,8291
2013,North Carolina,Public Out-of-State,2-year,Fees/Tuition,8171
2013,North Carolina,Public Out-of-State,4-year,Fees/Tuition,19733
2013,North Carolina,Public Out-of-State,4-year,Room/Board,8291
2013,North Dakota,Private,4-year,Fees/Tuition,12318
2013,North Dakota,Private,4-year,Room/Board,5424
2013,North Dakota,Public In-State,2-year,Fees/Tuition,4048
2013,North Dakota,Public In-State,4-year,Fees/Tuition,6572
2013,North Dakota,Public In-State,4-year,Room/Board,6639
2013,North Dakota,Public Out-of-State,2-year,Fees/Tuition,8216
2013,North Dakota,Public Out-of-State,4-year,Fees/Tuition,16170
2013,North Dakota,Public Out-of-State,4-year,Room/Board,6639
2013,Ohio,Private,4-year,Fees/Tuition,25756
2013,Ohio,Private,4-year,Room/Board,9612
2013,Ohio,Public In-State,2-year,Fees/Tuition,3480
2013,Ohio,Public In-State,4-year,Fees/Tuition,9301
2013,Ohio,Public In-State,4-year,Room/Board,10152
2013,Ohio,Public Out-of-State,2-year,Fees/Tuition,7421
2013,Ohio,Public Out-of-State,4-year,Fees/Tuition,21683
2013,Ohio,Public Out-of-State,4-year,Room/Board,10152
2013,Oklahoma,Private,4-year,Fees/Tuition,20572
2013,Oklahoma,Private,4-year,Room/Board,8658
2013,Oklahoma,Public In-State,2-year,Fees/Tuition,2904
2013,Oklahoma,Public In-State,4-year,Fees/Tuition,5882
2013,Oklahoma,Public In-State,4-year,Room/Board,7123
2013,Oklahoma,Public Out-of-State,2-year,Fees/Tuition,7101
2013,Oklahoma,Public Out-of-State,4-year,Fees/Tuition,16543
2013,Oklahoma,Public Out-of-State,4-year,Room/Board,7123
2013,Oregon,Private,4-year,Fees/Tuition,30195
2013,Oregon,Private,4-year,Room/Board,10460
2013,Oregon,Public In-State,2-year,Fees/Tuition,3752
2013,Oregon,Public In-State,4-year,Fees/Tuition,8294
2013,Oregon,Public In-State,4-year,Room/Board,10232
2013,Oregon,Public Out-of-State,2-year,Fees/Tuition,7689
2013,Oregon,Public Out-of-State,4-year,Fees/Tuition,25067
2013,Oregon,Public Out-of-State,4-year,Room/Board,10232
2013,Pennsylvania,Private,4-year,Fees/Tuition,32949
2013,Pennsylvania,Private,4-year,Room/Board,11459
2013,Pennsylvania,Public In-State,2-year,Fees/Tuition,4133
2013,Pennsylvania,Public In-State,4-year,Fees/Tuition,12184
2013,Pennsylvania,Public In-State,4-year,Room/Board,9453
2013,Pennsylvania,Public Out-of-State,2-year,Fees/Tuition,11009
2013,Pennsylvania,Public Out-of-State,4-year,Fees/Tuition,22891
2013,Pennsylvania,Public Out-of-State,4-year,Room/Board,9453
2013,Rhode Island,Private,4-year,Fees/Tuition,33940
2013,Rhode Island,Private,4-year,Room/Board,12174
2013,Rhode Island,Public In-State,2-year,Fees/Tuition,3950
2013,Rhode Island,Public In-State,4-year,Fees/Tuition,10817
2013,Rhode Island,Public In-State,4-year,Room/Board,10765
2013,Rhode Island,Public Out-of-State,2-year,Fees/Tuition,10582
2013,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,26762
2013,Rhode Island,Public Out-of-State,4-year,Room/Board,10765
2013,South Carolina,Private,4-year,Fees/Tuition,20990
2013,South Carolina,Private,4-year,Room/Board,8175
2013,South Carolina,Public In-State,2-year,Fees/Tuition,3820
2013,South Carolina,Public In-State,4-year,Fees/Tuition,10691
2013,South Carolina,Public In-State,4-year,Room/Board,7964
2013,South Carolina,Public Out-of-State,2-year,Fees/Tuition,7910
2013,South Carolina,Public Out-of-State,4-year,Fees/Tuition,26042
2013,South Carolina,Public Out-of-State,4-year,Room/Board,7964
2013,South Dakota,Private,4-year,Fees/Tuition,18843
2013,South Dakota,Private,4-year,Room/Board,6953
2013,South Dakota,Public In-State,2-year,Fees/Tuition,5066
2013,South Dakota,Public In-State,4-year,Fees/Tuition,7413
2013,South Dakota,Public In-State,4-year,Room/Board,6445
2013,South Dakota,Public Out-of-State,2-year,Fees/Tuition,5261
2013,South Dakota,Public Out-of-State,4-year,Fees/Tuition,9654
2013,South Dakota,Public Out-of-State,4-year,Room/Board,6445
2013,Tennessee,Private,4-year,Fees/Tuition,22046
2013,Tennessee,Private,4-year,Room/Board,9090
2013,Tennessee,Public In-State,2-year,Fees/Tuition,3526
2013,Tennessee,Public In-State,4-year,Fees/Tuition,7472
2013,Tennessee,Public In-State,4-year,Room/Board,7944
2013,Tennessee,Public Out-of-State,2-year,Fees/Tuition,13682
2013,Tennessee,Public Out-of-State,4-year,Fees/Tuition,22412
2013,Tennessee,Public Out-of-State,4-year,Room/Board,7944
2013,Texas,Private,4-year,Fees/Tuition,25174
2013,Texas,Private,4-year,Room/Board,9686
2013,Texas,Public In-State,2-year,Fees/Tuition,1815
2013,Texas,Public In-State,4-year,Fees/Tuition,7402
2013,Texas,Public In-State,4-year,Room/Board,8538
2013,Texas,Public Out-of-State,2-year,Fees/Tuition,5075
2013,Texas,Public Out-of-State,4-year,Fees/Tuition,20044
2013,Texas,Public Out-of-State,4-year,Room/Board,8538
2013,Utah,Private,4-year,Fees/Tuition,7758
2013,Utah,Private,4-year,Room/Board,7572
2013,Utah,Public In-State,2-year,Fees/Tuition,3170
2013,Utah,Public In-State,4-year,Fees/Tuition,5375
2013,Utah,Public In-State,4-year,Room/Board,6701
2013,Utah,Public Out-of-State,2-year,Fees/Tuition,10012
2013,Utah,Public Out-of-State,4-year,Fees/Tuition,16631
2013,Utah,Public Out-of-State,4-year,Room/Board,6701
2013,Vermont,Private,4-year,Fees/Tuition,35130
2013,Vermont,Private,4-year,Room/Board,11125
2013,Vermont,Public In-State,2-year,Fees/Tuition,5452
2013,Vermont,Public In-State,4-year,Fees/Tuition,13524
2013,Vermont,Public In-State,4-year,Room/Board,9766
2013,Vermont,Public Out-of-State,2-year,Fees/Tuition,10804
2013,Vermont,Public Out-of-State,4-year,Fees/Tuition,32650
2013,Vermont,Public Out-of-State,4-year,Room/Board,9766
2013,Virginia,Private,4-year,Fees/Tuition,21524
2013,Virginia,Private,4-year,Room/Board,8959
2013,Virginia,Public In-State,2-year,Fees/Tuition,3910
2013,Virginia,Public In-State,4-year,Fees/Tuition,9866
2013,Virginia,Public In-State,4-year,Room/Board,8977
2013,Virginia,Public Out-of-State,2-year,Fees/Tuition,8592
2013,Virginia,Public Out-of-State,4-year,Fees/Tuition,27079
2013,Virginia,Public Out-of-State,4-year,Room/Board,8977
2013,Washington,Private,4-year,Fees/Tuition,30133
2013,Washington,Private,4-year,Room/Board,10161
2013,Washington,Public In-State,2-year,Fees/Tuition,3957
2013,Washington,Public In-State,4-year,Fees/Tuition,8856
2013,Washington,Public In-State,4-year,Room/Board,10069
2013,Washington,Public Out-of-State,2-year,Fees/Tuition,6983
2013,Washington,Public Out-of-State,4-year,Fees/Tuition,26314
2013,Washington,Public Out-of-State,4-year,Room/Board,10069
2013,West Virginia,Private,4-year,Fees/Tuition,10721
2013,West Virginia,Private,4-year,Room/Board,8399
2013,West Virginia,Public In-State,2-year,Fees/Tuition,3135
2013,West Virginia,Public In-State,4-year,Fees/Tuition,5599
2013,West Virginia,Public In-State,4-year,Room/Board,8527
2013,West Virginia,Public Out-of-State,2-year,Fees/Tuition,7798
2013,West Virginia,Public Out-of-State,4-year,Fees/Tuition,16582
2013,West Virginia,Public Out-of-State,4-year,Room/Board,8527
2013,Wisconsin,Private,4-year,Fees/Tuition,25500
2013,Wisconsin,Private,4-year,Room/Board,8699
2013,Wisconsin,Public In-State,2-year,Fees/Tuition,4073
2013,Wisconsin,Public In-State,4-year,Fees/Tuition,8339
2013,Wisconsin,Public In-State,4-year,Room/Board,7106
2013,Wisconsin,Public Out-of-State,2-year,Fees/Tuition,6824
2013,Wisconsin,Public Out-of-State,4-year,Fees/Tuition,20146
2013,Wisconsin,Public Out-of-State,4-year,Room/Board,7106
2013,Wyoming,Private,4-year,Fees/Tuition,13562
2013,Wyoming,Public In-State,2-year,Fees/Tuition,2420
2013,Wyoming,Public In-State,4-year,Fees/Tuition,3642
2013,Wyoming,Public In-State,4-year,Room/Board,8837
2013,Wyoming,Public Out-of-State,2-year,Fees/Tuition,5998
2013,Wyoming,Public Out-of-State,4-year,Fees/Tuition,10962
2013,Wyoming,Public Out-of-State,4-year,Room/Board,8837
2014,Alabama,Private,4-year,Fees/Tuition,14201
2014,Alabama,Private,4-year,Room/Board,8773
2014,Alabama,Public In-State,2-year,Fees/Tuition,4108
2014,Alabama,Public In-State,4-year,Fees/Tuition,8503
2014,Alabama,Public In-State,4-year,Room/Board,8744
2014,Alabama,Public Out-of-State,2-year,Fees/Tuition,7855
2014,Alabama,Public Out-of-State,4-year,Fees/Tuition,21389
2014,Alabama,Public Out-of-State,4-year,Room/Board,8744
2014,Alaska,Private,4-year,Fees/Tuition,20943
2014,Alaska,Private,4-year,Room/Board,9319
2014,Alaska,Public In-State,2-year,Fees/Tuition,4652
2014,Alaska,Public In-State,4-year,Fees/Tuition,6141
2014,Alaska,Public In-State,4-year,Room/Board,9556
2014,Alaska,Public Out-of-State,2-year,Fees/Tuition,4569
2014,Alaska,Public Out-of-State,4-year,Fees/Tuition,18458
2014,Alaska,Public Out-of-State,4-year,Room/Board,9556
2014,Arizona,Private,4-year,Fees/Tuition,11462
2014,Arizona,Private,4-year,Room/Board,8734
2014,Arizona,Public In-State,2-year,Fees/Tuition,1949
2014,Arizona,Public In-State,4-year,Fees/Tuition,9906
2014,Arizona,Public In-State,4-year,Room/Board,9877
2014,Arizona,Public Out-of-State,2-year,Fees/Tuition,7994
2014,Arizona,Public Out-of-State,4-year,Fees/Tuition,22878
2014,Arizona,Public Out-of-State,4-year,Room/Board,9877
2014,Arkansas,Private,4-year,Fees/Tuition,19104
2014,Arkansas,Private,4-year,Room/Board,7371
2014,Arkansas,Public In-State,2-year,Fees/Tuition,2812
2014,Arkansas,Public In-State,4-year,Fees/Tuition,6894
2014,Arkansas,Public In-State,4-year,Room/Board,7760
2014,Arkansas,Public Out-of-State,2-year,Fees/Tuition,4905
2014,Arkansas,Public Out-of-State,4-year,Fees/Tuition,16266
2014,Arkansas,Public Out-of-State,4-year,Room/Board,7760
2014,California,Private,4-year,Fees/Tuition,29678
2014,California,Private,4-year,Room/Board,12213
2014,California,Public In-State,2-year,Fees/Tuition,1233
2014,California,Public In-State,4-year,Fees/Tuition,8903
2014,California,Public In-State,4-year,Room/Board,12380
2014,California,Public Out-of-State,2-year,Fees/Tuition,6593
2014,California,Public Out-of-State,4-year,Fees/Tuition,30663
2014,California,Public Out-of-State,4-year,Room/Board,12380
2014,Colorado,Private,4-year,Fees/Tuition,20359
2014,Colorado,Private,4-year,Room/Board,11114
2014,Colorado,Public In-State,2-year,Fees/Tuition,3160
2014,Colorado,Public In-State,4-year,Fees/Tuition,8228
2014,Colorado,Public In-State,4-year,Room/Board,10751
2014,Colorado,Public Out-of-State,2-year,Fees/Tuition,9261
2014,Colorado,Public Out-of-State,4-year,Fees/Tuition,26233
2014,Colorado,Public Out-of-State,4-year,Room/Board,10751
2014,Connecticut,Private,4-year,Fees/Tuition,35407
2014,Connecticut,Private,4-year,Room/Board,13311
2014,Connecticut,Public In-State,2-year,Fees/Tuition,3824
2014,Connecticut,Public In-State,4-year,Fees/Tuition,10128
2014,Connecticut,Public In-State,4-year,Room/Board,11514
2014,Connecticut,Public Out-of-State,2-year,Fees/Tuition,11287
2014,Connecticut,Public Out-of-State,4-year,Fees/Tuition,28337
2014,Connecticut,Public Out-of-State,4-year,Room/Board,11514
2014,Delaware,Private,4-year,Fees/Tuition,13444
2014,Delaware,Private,4-year,Room/Board,10777
2014,Delaware,Public In-State,2-year,Fees/Tuition,3380
2014,Delaware,Public In-State,4-year,Fees/Tuition,11278
2014,Delaware,Public In-State,4-year,Room/Board,11408
2014,Delaware,Public Out-of-State,2-year,Fees/Tuition,7910
2014,Delaware,Public Out-of-State,4-year,Fees/Tuition,27162
2014,Delaware,Public Out-of-State,4-year,Room/Board,11408
2014,District of Columbia,Private,4-year,Fees/Tuition,36723
2014,District of Columbia,Private,4-year,Room/Board,13171
2014,District of Columbia,Public In-State,4-year,Fees/Tuition,7255
2014,District of Columbia,Public Out-of-State,4-year,Fees/Tuition,14535
2014,Florida,Private,4-year,Fees/Tuition,20971
